id,site,data,titulo_original,subtitulo_original,texto_original,url,pipeline_nlp,analise_sentimento
1,Jovem Pan,2026-05-06 09:03:00,Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana,,Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana ,,"{'etapa_1_limpeza': 'Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana', 'etapa_2_normalizacao': 'justiça inglesa rejeita recurso da bhp e mantém condenação pelo desastre de mariana', 'etapa_3_entidades': [], 'etapa_4_tokens': [{'original': 'justiça', 'processado': 'justiça'}, {'original': 'inglesa', 'processado': 'inglês'}, {'original': 'rejeita', 'processado': 'rejeitar'}, {'original': 'recurso', 'processado': 'recurso'}, {'original': 'da', 'processado': 'de o'}, {'original': 'bhp', 'processado': 'bhp'}, {'original': 'e', 'processado': 'e'}, {'original': 'mantém', 'processado': 'manter'}, {'original': 'condenação', 'processado': 'condenação'}, {'original': 'pelo', 'processado': 'por o'}, {'original': 'desastre', 'processado': 'desastre'}, {'original': 'de', 'processado': 'de'}, {'original': 'mariana', 'processado': 'mariana'}], 'etapa_5_lista_tokens': ['justiça', 'inglês', 'rejeitar', 'recurso', 'de o', 'bhp', 'e', 'manter', 'condenação', 'por o', 'desastre', 'de', 'mariana'], 'etapa_6_texto_final': 'justiça inglês rejeitar recurso de o bhp e manter condenação por o desastre de mariana'}","{'sentimento': 'NEU', 'confianca': 0.4427}"
2,Jovem Pan,2026-05-03 16:35:00,Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte,,Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte ,,"{'etapa_1_limpeza': 'Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte', 'etapa_2_normalizacao': 'inmet emite alerta de perigo para chuvas intensas em áreas da região norte', 'etapa_3_entidades': [{'texto': 'inmet', 'tipo': 'PER'}], 'etapa_4_tokens': [{'original': 'inmet', 'processado': 'inmet'}, {'original': 'emite', 'processado': 'emite'}, {'original': 'alerta', 'processado': 'alertar'}, {'original': 'de', 'processado': 'de'}, {'original': 'perigo', 'processado': 'perigo'}, {'original': 'para', 'processado': 'para'}, {'original': 'chuvas', 'processado': 'chuva'}, {'original': 'intensas', 'processado': 'intenso'}, {'original': 'em', 'processado': 'em'}, {'original': 'áreas', 'processado': 'área'}, {'original': 'da', 'processado': 'de o'}, {'original': 'região', 'processado': 'região'}, {'original': 'norte', 'processado': 'norte'}], 'etapa_5_lista_tokens': ['inmet', 'emite', 'alertar', 'de', 'perigo', 'para', 'chuva', 'intenso', 'em', 'área', 'de o', 'região', 'norte'], 'etapa_6_texto_final': 'inmet emite alertar de perigo para chuva intenso em área de o região norte'}","{'sentimento': 'NEU', 'confianca': 0.5247}"
3,Jovem Pan,2026-05-03 14:50:00,Governo da Paraíba decreta estado de calamidade pública após fortes chuvas,,Governo da Paraíba decreta estado de calamidade pública após fortes chuvas ,,"{'etapa_1_limpeza': 'Governo da Paraíba decreta estado de calamidade pública após fortes chuvas', 'etapa_2_normalizacao': 'governo da paraíba decreta estado de calamidade pública após fortes chuvas', 'etapa_3_entidades': [{'texto': 'paraíba', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'governo', 'processado': 'governo'}, {'original': 'da', 'processado': 'de o'}, {'original': 'paraíba', 'processado': 'paraíba'}, {'original': 'decreta', 'processado': 'decretar'}, {'original': 'estado', 'processado': 'estado'}, {'original': 'de', 'processado': 'de'}, {'original': 'calamidade', 'processado': 'calamidade'}, {'original': 'pública', 'processado': 'público'}, {'original': 'após', 'processado': 'após'}, {'original': 'fortes', 'processado': 'forte'}, {'original': 'chuvas', 'processado': 'chuva'}], 'etapa_5_lista_tokens': ['governo', 'de o', 'paraíba', 'decretar', 'estado', 'de', 'calamidade', 'público', 'após', 'forte', 'chuva'], 'etapa_6_texto_final': 'governo de o paraíba decretar estado de calamidade público após forte chuva'}","{'sentimento': 'NEG', 'confianca': 0.5478}"
4,Jovem Pan,2026-05-03 11:40:00,Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas,,Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas ,,"{'etapa_1_limpeza': 'Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas', 'etapa_2_normalizacao': 'chuvas no nordeste causam 8 mortes e afetam mais de 10 mil pessoas', 'etapa_3_entidades': [], 'etapa_4_tokens': [{'original': 'chuvas', 'processado': 'chuva'}, {'original': 'no', 'processado': 'em o'}, {'original': 'nordeste', 'processado': 'nordeste'}, {'original': 'causam', 'processado': 'causar'}, {'original': '8', 'processado': '8'}, {'original': 'mortes', 'processado': 'morte'}, {'original': 'e', 'processado': 'e'}, {'original': 'afetam', 'processado': 'afetar'}, {'original': 'mais', 'processado': 'mais'}, {'original': 'de', 'processado': 'de'}, {'original': '10', 'processado': '10'}, {'original': 'mil', 'processado': 'mil'}, {'original': 'pessoas', 'processado': 'pessoa'}], 'etapa_5_lista_tokens': ['chuva', 'em o', 'nordeste', 'causar', '8', 'morte', 'e', 'afetar', 'mais', 'de', '10', 'mil', 'pessoa'], 'etapa_6_texto_final': 'chuva em o nordeste causar 8 morte e afetar mais de 10 mil pessoa'}","{'sentimento': 'NEG', 'confianca': 0.6521}"
5,Jovem Pan,2026-05-03 08:30:00,SP deve registrar queda de temperatura com chuva forte neste domingo,,SP deve registrar queda de temperatura com chuva forte neste domingo ,,"{'etapa_1_limpeza': 'SP deve registrar queda de temperatura com chuva forte neste domingo', 'etapa_2_normalizacao': 'sp deve registrar queda de temperatura com chuva forte neste domingo', 'etapa_3_entidades': [{'texto': 'sp', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'sp', 'processado': 'sp'}, {'original': 'deve', 'processado': 'dever'}, {'original': 'registrar', 'processado': 'registrar'}, {'original': 'queda', 'processado': 'queda'}, {'original': 'de', 'processado': 'de'}, {'original': 'temperatura', 'processado': 'temperatura'}, {'original': 'com', 'processado': 'com'}, {'original': 'chuva', 'processado': 'chuva'}, {'original': 'forte', 'processado': 'forte'}, {'original': 'neste', 'processado': 'em este'}, {'original': 'domingo', 'processado': 'domingo'}], 'etapa_5_lista_tokens': ['sp', 'dever', 'registrar', 'queda', 'de', 'temperatura', 'com', 'chuva', 'forte', 'em este', 'domingo'], 'etapa_6_texto_final': 'sp dever registrar queda de temperatura com chuva forte em este domingo'}","{'sentimento': 'NEU', 'confianca': 0.548}"
6,Jovem Pan,2026-05-02 12:12:00,Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos,,Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos ,,"{'etapa_1_limpeza': 'Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos', 'etapa_2_normalizacao': 'inmet emite alerta após chuvas no nordeste deixarem pelo menos 6 mortos', 'etapa_3_entidades': [{'texto': 'inmet', 'tipo': 'PER'}], 'etapa_4_tokens': [{'original': 'inmet', 'processado': 'inmet'}, {'original': 'emite', 'processado': 'emite'}, {'original': 'alerta', 'processado': 'alertar'}, {'original': 'após', 'processado': 'após'}, {'original': 'chuvas', 'processado': 'chuva'}, {'original': 'no', 'processado': 'em o'}, {'original': 'nordeste', 'processado': 'nordeste'}, {'original': 'deixarem', 'processado': 'deixar'}, {'original': 'pelo', 'processado': 'por o'}, {'original': 'menos', 'processado': 'menos'}, {'original': '6', 'processado': '6'}, {'original': 'mortos', 'processado': 'morto'}], 'etapa_5_lista_tokens': ['inmet', 'emite', 'alertar', 'após', 'chuva', 'em o', 'nordeste', 'deixar', 'por o', 'menos', '6', 'morto'], 'etapa_6_texto_final': 'inmet emite alertar após chuva em o nordeste deixar por o menos 6 morto'}","{'sentimento': 'NEU', 'confianca': 0.4529}"
7,Jovem Pan,2026-05-01 19:56:00,Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco,,Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco ,,"{'etapa_1_limpeza': 'Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco', 'etapa_2_normalizacao': 'chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em pernambuco', 'etapa_3_entidades': [{'texto': 'pernambuco', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'chuvas', 'processado': 'chuva'}, {'original': 'fortes', 'processado': 'forte'}, {'original': 'deixam', 'processado': 'deixar'}, {'original': 'ao', 'processado': 'a o'}, {'original': 'menos', 'processado': 'menos'}, {'original': '4', 'processado': '4'}, {'original': 'mortos', 'processado': 'morto'}, {'original': 'e', 'processado': 'e'}, {'original': 'mais', 'processado': 'mais'}, {'original': 'de', 'processado': 'de'}, {'original': '1', 'processado': '1'}, {'original': 'mil', 'processado': 'mil'}, {'original': 'desalojados', 'processado': 'desalojar'}, {'original': 'em', 'processado': 'em'}, {'original': 'pernambuco', 'processado': 'pernambuco'}], 'etapa_5_lista_tokens': ['chuva', 'forte', 'deixar', 'a o', 'menos', '4', 'morto', 'e', 'mais', 'de', '1', 'mil', 'desalojar', 'em', 'pernambuco'], 'etapa_6_texto_final': 'chuva forte deixar a o menos 4 morto e mais de 1 mil desalojar em pernambuco'}","{'sentimento': 'NEG', 'confianca': 0.5755}"
8,Jovem Pan,2026-05-01 19:07:00,Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba,,Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba ,,"{'etapa_1_limpeza': 'Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba', 'etapa_2_normalizacao': 'chuvas: governo envia defesa civil para pernambuco e paraíba', 'etapa_3_entidades': [{'texto': 'pernambuco', 'tipo': 'LOC'}, {'texto': 'paraíba', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'chuvas', 'processado': 'chuva'}, {'original': 'governo', 'processado': 'governo'}, {'original': 'envia', 'processado': 'enviar'}, {'original': 'defesa', 'processado': 'defesa'}, {'original': 'civil', 'processado': 'civil'}, {'original': 'para', 'processado': 'para'}, {'original': 'pernambuco', 'processado': 'pernambuco'}, {'original': 'e', 'processado': 'e'}, {'original': 'paraíba', 'processado': 'paraíba'}], 'etapa_5_lista_tokens': ['chuva', 'governo', 'enviar', 'defesa', 'civil', 'para', 'pernambuco', 'e', 'paraíba'], 'etapa_6_texto_final': 'chuva governo enviar defesa civil para pernambuco e paraíba'}","{'sentimento': 'NEU', 'confianca': 0.483}"
9,Jovem Pan,2026-04-30 09:41:00,"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo",,"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo ",,"{'etapa_1_limpeza': 'SP e RJ terão sol e calor, mas frente fria traz chuva no domingo', 'etapa_2_normalizacao': 'sp e rj terão sol e calor, mas frente fria traz chuva no domingo', 'etapa_3_entidades': [{'texto': 'sp', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'sp', 'processado': 'sp'}, {'original': 'e', 'processado': 'e'}, {'original': 'rj', 'processado': 'rj'}, {'original': 'terão', 'processado': 'ter'}, {'original': 'sol', 'processado': 'sol'}, {'original': 'e', 'processado': 'e'}, {'original': 'calor', 'processado': 'calor'}, {'original': 'mas', 'processado': 'mas'}, {'original': 'frente', 'processado': 'frente'}, {'original': 'fria', 'processado': 'frio'}, {'original': 'traz', 'processado': 'trazer'}, {'original': 'chuva', 'processado': 'chuva'}, {'original': 'no', 'processado': 'em o'}, {'original': 'domingo', 'processado': 'domingo'}], 'etapa_5_lista_tokens': ['sp', 'e', 'rj', 'ter', 'sol', 'e', 'calor', 'mas', 'frente', 'frio', 'trazer', 'chuva', 'em o', 'domingo'], 'etapa_6_texto_final': 'sp e rj ter sol e calor mas frente frio trazer chuva em o domingo'}","{'sentimento': 'NEU', 'confianca': 0.5062}"
10,Jovem Pan,2026-04-28 15:13:00,Inmet emite diversos alertas para chuvas no país; veja estados afetados,,Inmet emite diversos alertas para chuvas no país; veja estados afetados ,,"{'etapa_1_limpeza': 'Inmet emite diversos alertas para chuvas no país; veja estados afetados', 'etapa_2_normalizacao': 'inmet emite diversos alertas para chuvas no país; veja estados afetados', 'etapa_3_entidades': [{'texto': 'inmet', 'tipo': 'PER'}], 'etapa_4_tokens': [{'original': 'inmet', 'processado': 'inmet'}, {'original': 'emite', 'processado': 'emitar'}, {'original': 'diversos', 'processado': 'diversos'}, {'original': 'alertas', 'processado': 'alerta'}, {'original': 'para', 'processado': 'para'}, {'original': 'chuvas', 'processado': 'chuva'}, {'original': 'no', 'processado': 'em o'}, {'original': 'país', 'processado': 'país'}, {'original': 'veja', 'processado': 'ver'}, {'original': 'estados', 'processado': 'estar'}, {'original': 'afetados', 'processado': 'afetar'}], 'etapa_5_lista_tokens': ['inmet', 'emitar', 'diversos', 'alerta', 'para', 'chuva', 'em o', 'país', 'ver', 'estar', 'afetar'], 'etapa_6_texto_final': 'inmet emitar diversos alerta para chuva em o país ver estar afetar'}","{'sentimento': 'NEU', 'confianca': 0.5183}"
