Unnamed: 0,titulo,link,data,site,descricao
0,Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana,https://jovempan.com.br/noticias/brasil/justica-inglesa-rejeita-recurso-da-bhp-e-mantem-condenacao-pelo-desastre-de-mariana.html,2026-05-06 09:03:00,Jovem Pan,Tribunal de Apelação encerra última via recursal comum no Reino Unido; processo agora avança para a fase de cálculo das indenizações às vítimas da tragédia
1,Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-perigo-para-chuvas-intensas-em-areas-da-regiao-norte.html,2026-05-03 16:35:00,Jovem Pan,A previsão do Inmet é de chuva entre 30 e 60 milímetros (mm) e ventos que podem chegar a 100 quilômetros por hora (km/h)
2,Governo da Paraíba decreta estado de calamidade pública após fortes chuvas,https://jovempan.com.br/noticias/brasil/governo-da-paraiba-decreta-estado-de-calamidade-publica-apos-fortes-chuvas.html,2026-05-03 14:50:00,Jovem Pan,"De acordo com o Ministério da Integração e do Desenvolvimento Regional, o estado tem mais de 16 mil afetados pelas chuvas; duas pessoas morreram"
3,Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas,https://jovempan.com.br/noticias/brasil/chuvas-no-nordeste-causam-8-mortes-e-afetam-mais-de-10-mil-pessoas.html,2026-05-03 11:40:00,Jovem Pan,"Entre as vítimas estão um bebê de seis meses, outro de um ano e uma criança de 7 anos; tempestades provocaram danos em pelo menos 27 municípios do Pernambuco"
4,SP deve registrar queda de temperatura com chuva forte neste domingo,https://jovempan.com.br/noticias/brasil/sao-paulo-deve-registrar-queda-de-temperatura-com-chuva-forte-neste-domingo.html,2026-05-03 08:30:00,Jovem Pan,"A mudança do tempo é causada pelo avanço de uma frente fria mais ativa pelo oceano, o que provoca aumento significativo de instabilidade"
5,Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-apos-chuvas-no-nordeste-deixarem-pelo-menos-6-mortos.html,2026-05-02 12:12:00,Jovem Pan,"De acordo com o órgão, a previsão é de temporais entre 50 e 100mm no dia e ventos intensos entre 60 e 100 km/h, com risco de corte de energia elétrica e alagamentos"
6,Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco,https://jovempan.com.br/noticias/brasil/chuvas-fortes-deixam-mortos-em-pernambuco.html,2026-05-01 19:56:00,Jovem Pan,A Defesa Civil estadual também registra cinco feridos
7,Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba,https://jovempan.com.br/noticias/brasil/chuvas-governo-envia-defesa-civil-para-pernambuco-e-paraiba.html,2026-05-01 19:07:00,Jovem Pan,Fortes chuvas atingem hoje as regiões
8,"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo",https://jovempan.com.br/noticias/brasil/sp-e-rj-terao-sol-e-calor-mas-frente-fria-traz-chuva-no-domingo.html,2026-04-30 09:41:00,Jovem Pan,"Feriado prolongado de 1º de maio terá tempo firme em grande parte do Brasil, mas a passagem de uma massa fria atinge o sul e o sudeste"
9,Inmet emite diversos alertas para chuvas no país; veja estados afetados,https://jovempan.com.br/noticias/brasil/inmet-emite-diversos-alertas-para-chuvas-no-pais-veja-estados-afetados.html,2026-04-28 15:13:00,Jovem Pan,"Para São Paulo, há possibilidade de chuva de até 50 mm/dia, ventos intensos (40-60 km/h) e queda de granizo"
